song_name,file_name,relative_path,audio_path,status,error,original_duration_seconds,inference_duration_seconds,audio_was_looped,windows_used,window_seconds,main_label,main_genre_id,main_genre_name,main_score,main_confidence_level,main_threshold_vote_count,main_top1_window_vote_count,main_top3_window_vote_count,low_confidence,top1_labels,top1_genres,top1_scores,top3_labels,top3_genres,top3_scores,top5_labels,top5_genres,top5_scores,stable_predicted_labels,stable_predicted_genres,seconds
Rock__ca200_cjazz__503._Andrij_Orel_-_Ringo_Quartz,Rock__ca200_cjazz__503._Andrij_Orel_-_Ringo_Quartz.mp3,Rock/Rock__ca200_cjazz__503._Andrij_Orel_-_Ringo_Quartz.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__ca200_cjazz__503._Andrij_Orel_-_Ringo_Quartz.mp3,ok,,415.66,415.66,False,8,15,genre_38,38,Experimental,0.5654394626617432,Moderate,8,8,8,False,genre_38,Experimental,0.565439,genre_38|genre_12|genre_17,Experimental|Rock|Folk,0.565439|0.265028|0.200406,genre_38|genre_12|genre_17|genre_250|genre_1235,Experimental|Rock|Folk|Improv|Instrumental,0.565439|0.265028|0.200406|0.199195|0.165079,genre_38|genre_12|genre_17,Experimental|Rock|Folk,4.5790488719940186
Rock__afm004_allmyfaults_neonoir__The_course_of_true_love_never_did_run_smooth__my_dearest,Rock__afm004_allmyfaults_neonoir__The_course_of_true_love_never_did_run_smooth__my_dearest.mp3,Rock/Rock__afm004_allmyfaults_neonoir__The_course_of_true_love_never_did_run_smooth__my_dearest.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__afm004_allmyfaults_neonoir__The_course_of_true_love_never_did_run_smooth__my_dearest.mp3,ok,,348.03,348.03,False,8,15,genre_38,38,Experimental,0.5785386562347412,Moderate,8,7,8,False,genre_38,Experimental,0.578539,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,0.578539|0.325567|0.296563,genre_38|genre_12|genre_15|genre_1|genre_10,Experimental|Rock|Electronic|Avant-Garde|Pop,0.578539|0.325567|0.296563|0.133387|0.123368,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,1.6052436828613281
Rock__Lethargie.LP__Intro___Im_Herbst,Rock__Lethargie.LP__Intro___Im_Herbst.mp3,Rock/Rock__Lethargie.LP__Intro___Im_Herbst.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__Lethargie.LP__Intro___Im_Herbst.mp3,ok,,386.74,386.74,False,8,15,genre_38,38,Experimental,0.6129275560379028,Moderate,8,8,8,False,genre_38,Experimental,0.612928,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,0.612928|0.399678|0.270417,genre_38|genre_15|genre_12|genre_1|genre_32,Experimental|Electronic|Rock|Avant-Garde|Noise,0.612928|0.399678|0.270417|0.111470|0.109929,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,1.7048060894012451
Rock__Bostaurus.Demo__The_Sky_Full_of_Shadows,Rock__Bostaurus.Demo__The_Sky_Full_of_Shadows.mp3,Rock/Rock__Bostaurus.Demo__The_Sky_Full_of_Shadows.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__Bostaurus.Demo__The_Sky_Full_of_Shadows.mp3,ok,,203.39,203.39,False,8,15,genre_38,38,Experimental,0.5587550401687622,Moderate,8,7,8,False,genre_38,Experimental,0.558755,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,0.558755|0.414183|0.279063,genre_38|genre_12|genre_15|genre_25|genre_1,Experimental|Rock|Electronic|Punk|Avant-Garde,0.558755|0.414183|0.279063|0.165451|0.113199,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,1.2912168502807617
Rock__BS450014__Last_Addiction,Rock__BS450014__Last_Addiction.mp3,Rock/Rock__BS450014__Last_Addiction.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__BS450014__Last_Addiction.mp3,ok,,222.12,222.12,False,8,15,genre_12,12,Rock,0.481871634721756,Low-to-moderate,8,5,8,True,genre_12,Rock,0.481872,genre_12|genre_17|genre_38,Rock|Folk|Experimental,0.481872|0.392524|0.359924,genre_12|genre_17|genre_38|genre_10|genre_103,Rock|Folk|Experimental|Pop|Singer-Songwriter,0.481872|0.392524|0.359924|0.221322|0.177411,genre_12|genre_17|genre_38|genre_10,Rock|Folk|Experimental|Pop,1.3894588947296143
Rock__csr020__Set_The_Controls_For_the_Heart_of_the_Sun,Rock__csr020__Set_The_Controls_For_the_Heart_of_the_Sun.mp3,Rock/Rock__csr020__Set_The_Controls_For_the_Heart_of_the_Sun.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__csr020__Set_The_Controls_For_the_Heart_of_the_Sun.mp3,ok,,437.37,437.37,False,8,15,genre_38,38,Experimental,0.48792389035224915,Low-to-moderate,8,3,8,True,genre_38,Experimental,0.487924,genre_38|genre_12|genre_17,Experimental|Rock|Folk,0.487924|0.461642|0.180819,genre_38|genre_12|genre_17|genre_15|genre_10,Experimental|Rock|Folk|Electronic|Pop,0.487924|0.461642|0.180819|0.152037|0.139754,genre_38|genre_12,Experimental|Rock,1.5938282012939453
Rock__afm020_noctiflora_0407__Neorama,Rock__afm020_noctiflora_0407__Neorama.mp3,Rock/Rock__afm020_noctiflora_0407__Neorama.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__afm020_noctiflora_0407__Neorama.mp3,ok,,394.0,394.0,False,8,15,genre_38,38,Experimental,0.5462841987609863,Moderate,8,5,8,False,genre_38,Experimental,0.546284,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,0.546284|0.332376|0.263510,genre_38|genre_12|genre_15|genre_1235|genre_17,Experimental|Rock|Electronic|Instrumental|Folk,0.546284|0.332376|0.263510|0.191842|0.134067,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,1.6461665630340576
Rock__SCL160__Break_the_Lies__Gnothi_Seauton_Remix,Rock__SCL160__Break_the_Lies__Gnothi_Seauton_Remix.mp3,Rock/Rock__SCL160__Break_the_Lies__Gnothi_Seauton_Remix.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__SCL160__Break_the_Lies__Gnothi_Seauton_Remix.mp3,ok,,264.85,264.85,False,8,15,genre_38,38,Experimental,0.6062440872192383,Moderate,8,6,8,False,genre_38,Experimental,0.606244,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,0.606244|0.347760|0.228466,genre_38|genre_15|genre_12|genre_1|genre_1235,Experimental|Electronic|Rock|Avant-Garde|Instrumental,0.606244|0.347760|0.228466|0.130879|0.128252,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,1.5864636898040771
Rock__freemusiccharts.songs2012__2012-01-H._Zombie-Taxi_Driver,Rock__freemusiccharts.songs2012__2012-01-H._Zombie-Taxi_Driver.mp3,Rock/Rock__freemusiccharts.songs2012__2012-01-H._Zombie-Taxi_Driver.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__freemusiccharts.songs2012__2012-01-H._Zombie-Taxi_Driver.mp3,ok,,328.34,328.34,False,8,15,genre_15,15,Electronic,0.63096022605896,Moderate,8,6,7,False,genre_15,Electronic,0.630960,genre_15|genre_38|genre_12,Electronic|Experimental|Rock,0.630960|0.396147|0.252419,genre_15|genre_38|genre_12|genre_1235|genre_21,Electronic|Experimental|Rock|Instrumental|Hip-Hop,0.630960|0.396147|0.252419|0.165456|0.163194,genre_15|genre_38|genre_12,Electronic|Experimental|Rock,1.6153407096862793
Rock__diymAR06__10-Derek_Clegg-Judy,Rock__diymAR06__10-Derek_Clegg-Judy.flac,Rock/Rock__diymAR06__10-Derek_Clegg-Judy.flac,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Rock\Rock__diymAR06__10-Derek_Clegg-Judy.flac,ok,,138.75,138.75,False,8,15,genre_12,12,Rock,0.3902067244052887,Low-to-moderate,8,6,7,True,genre_12,Rock,0.390207,genre_12|genre_38|genre_10,Rock|Experimental|Pop,0.390207|0.311216|0.262928,genre_12|genre_38|genre_10|genre_15|genre_17,Rock|Experimental|Pop|Electronic|Folk,0.390207|0.311216|0.262928|0.244625|0.224317,genre_12|genre_38|genre_10|genre_15|genre_17,Rock|Experimental|Pop|Electronic|Folk,1.3470604419708252
