notebook,source_used,pdf_path,html_path,code_cells,executed_code_cells,output_objects
01_metadata_understanding.ipynb,notebook\01_metadata_understanding.ipynb,software artefacts\notebook_pdfs\01_metadata_understanding.pdf,software artefacts\notebook_html\01_metadata_understanding.html,21,21,17
02_structured_model_features.ipynb,notebook\02_structured_model_features.ipynb,software artefacts\notebook_pdfs\02_structured_model_features.pdf,software artefacts\notebook_html\02_structured_model_features.html,18,18,14
03_echonest_experiment.ipynb,notebook\03_echonest_experiment.ipynb,software artefacts\notebook_pdfs\03_echonest_experiment.pdf,software artefacts\notebook_html\03_echonest_experiment.html,10,10,5
04_mongodb_pipeline.ipynb,notebook\04_mongodb_pipeline.ipynb,software artefacts\notebook_pdfs\04_mongodb_pipeline.pdf,software artefacts\notebook_html\04_mongodb_pipeline.html,13,13,11
05_structured_model_medium.ipynb,notebook\05_structured_model_medium.ipynb,software artefacts\notebook_pdfs\05_structured_model_medium.pdf,software artefacts\notebook_html\05_structured_model_medium.html,15,15,20
06_large_subset_analysis_and_structured_model.ipynb,notebook\06_large_subset_analysis_and_structured_model.ipynb,software artefacts\notebook_pdfs\06_large_subset_analysis_and_structured_model.pdf,software artefacts\notebook_html\06_large_subset_analysis_and_structured_model.html,22,20,22
07_audio_model.ipynb,notebook\07_audio_model.ipynb,software artefacts\notebook_pdfs\07_audio_model.pdf,software artefacts\notebook_html\07_audio_model.html,25,25,27
08_improved_audio_model_from_large.ipynb,notebook\08_improved_audio_model_from_large.ipynb,software artefacts\notebook_pdfs\08_improved_audio_model_from_large.pdf,software artefacts\notebook_html\08_improved_audio_model_from_large.html,15,15,18
09_structured_model_for_audio_hybrid.ipynb,notebook\09_structured_model_for_audio_hybrid.ipynb,software artefacts\notebook_pdfs\09_structured_model_for_audio_hybrid.pdf,software artefacts\notebook_html\09_structured_model_for_audio_hybrid.html,20,20,26
10_hybrid_fusion_model.ipynb,notebook\10_hybrid_fusion_model.ipynb,software artefacts\notebook_pdfs\10_hybrid_fusion_model.pdf,software artefacts\notebook_html\10_hybrid_fusion_model.html,13,13,13
11_final_prediction_pipeline.ipynb,notebook\11_final_prediction_pipeline.ipynb,software artefacts\notebook_pdfs\11_final_prediction_pipeline.pdf,software artefacts\notebook_html\11_final_prediction_pipeline.html,9,9,5
12_expand_8genre_pilot_and_retrain.ipynb,notebook\12_expand_8genre_pilot_and_retrain.ipynb,software artefacts\notebook_pdfs\12_expand_8genre_pilot_and_retrain.pdf,software artefacts\notebook_html\12_expand_8genre_pilot_and_retrain.html,11,11,13
13_audio_cnn_expanded.ipynb,notebook\13_audio_cnn_expanded.ipynb,software artefacts\notebook_pdfs\13_audio_cnn_expanded.pdf,software artefacts\notebook_html\13_audio_cnn_expanded.html,17,17,22
14_structured_model_expanded.ipynb,notebook\14_structured_model_expanded.ipynb,software artefacts\notebook_pdfs\14_structured_model_expanded.pdf,software artefacts\notebook_html\14_structured_model_expanded.html,19,19,24
15_hybrid_fusion_expanded.ipynb,notebook\15_hybrid_fusion_expanded.ipynb,software artefacts\notebook_pdfs\15_hybrid_fusion_expanded.pdf,software artefacts\notebook_html\15_hybrid_fusion_expanded.html,13,13,13
16_build_10genre_pilot.ipynb,notebook\16_build_10genre_pilot.ipynb,software artefacts\notebook_pdfs\16_build_10genre_pilot.pdf,software artefacts\notebook_html\16_build_10genre_pilot.html,11,11,13
17_audio_cnn_10genre.ipynb,notebook\17_audio_cnn_10genre.ipynb,software artefacts\notebook_pdfs\17_audio_cnn_10genre.pdf,software artefacts\notebook_html\17_audio_cnn_10genre.html,18,18,22
18_structured_model_10genre.ipynb,notebook\18_structured_model_10genre.ipynb,software artefacts\notebook_pdfs\18_structured_model_10genre.pdf,software artefacts\notebook_html\18_structured_model_10genre.html,20,19,23
19_hybrid_fusion_10genre.ipynb,notebook\19_hybrid_fusion_10genre.ipynb,software artefacts\notebook_pdfs\19_hybrid_fusion_10genre.pdf,software artefacts\notebook_html\19_hybrid_fusion_10genre.html,14,14,15
20_final_prediction_pipeline_10genre.ipynb,notebook\20_final_prediction_pipeline_10genre.ipynb,software artefacts\notebook_pdfs\20_final_prediction_pipeline_10genre.pdf,software artefacts\notebook_html\20_final_prediction_pipeline_10genre.html,9,9,5
21_batch_inference_demo_10genre.ipynb,notebook\21_batch_inference_demo_10genre.ipynb,software artefacts\notebook_pdfs\21_batch_inference_demo_10genre.pdf,software artefacts\notebook_html\21_batch_inference_demo_10genre.html,9,9,14
22_final_results_summary_and_comparison.ipynb,notebook\22_final_results_summary_and_comparison.ipynb,software artefacts\notebook_pdfs\22_final_results_summary_and_comparison.pdf,software artefacts\notebook_html\22_final_results_summary_and_comparison.html,9,9,13
23_full_genre_inventory_and_multilabel_prep.ipynb,notebook\23_full_genre_inventory_and_multilabel_prep.ipynb,software artefacts\notebook_pdfs\23_full_genre_inventory_and_multilabel_prep.pdf,software artefacts\notebook_html\23_full_genre_inventory_and_multilabel_prep.html,13,13,17
24_multilabel_target_matrix_and_split_audit.ipynb,notebook\24_multilabel_target_matrix_and_split_audit.ipynb,software artefacts\notebook_pdfs\24_multilabel_target_matrix_and_split_audit.pdf,software artefacts\notebook_html\24_multilabel_target_matrix_and_split_audit.html,14,14,24
25_mongodb_ingestion_for_multilabel_phase.ipynb,notebook\25_mongodb_ingestion_for_multilabel_phase.ipynb,software artefacts\notebook_pdfs\25_mongodb_ingestion_for_multilabel_phase.pdf,software artefacts\notebook_html\25_mongodb_ingestion_for_multilabel_phase.html,14,14,16
26_structured_multilabel_baseline_candidate150.ipynb,notebook\26_structured_multilabel_baseline_candidate150.ipynb,software artefacts\notebook_pdfs\26_structured_multilabel_baseline_candidate150.pdf,software artefacts\notebook_html\26_structured_multilabel_baseline_candidate150.html,19,19,22
27_structured_multilabel_threshold_tuning_candidate150.ipynb,notebook\27_structured_multilabel_threshold_tuning_candidate150.ipynb,software artefacts\notebook_pdfs\27_structured_multilabel_threshold_tuning_candidate150.pdf,software artefacts\notebook_html\27_structured_multilabel_threshold_tuning_candidate150.html,14,14,15
28_structured_multilabel_per_label_thresholds_and_topk_decoding.ipynb,notebook\28_structured_multilabel_per_label_thresholds_and_topk_decoding.ipynb,software artefacts\notebook_pdfs\28_structured_multilabel_per_label_thresholds_and_topk_decoding.pdf,software artefacts\notebook_html\28_structured_multilabel_per_label_thresholds_and_topk_decoding.html,17,17,18
29_structured_multilabel_final_upgrade_candidate150.ipynb,notebook\29_structured_multilabel_final_upgrade_candidate150.ipynb,software artefacts\notebook_pdfs\29_structured_multilabel_final_upgrade_candidate150.pdf,software artefacts\notebook_html\29_structured_multilabel_final_upgrade_candidate150.html,22,22,31
30_audio_multilabel_baseline_candidate150_pilot.ipynb,notebook\30_audio_multilabel_baseline_candidate150_pilot.ipynb,software artefacts\notebook_pdfs\30_audio_multilabel_baseline_candidate150_pilot.pdf,software artefacts\notebook_html\30_audio_multilabel_baseline_candidate150_pilot.html,25,25,32
31_structured_predictions_for_audio_pilot_candidate150.ipynb,notebook\31_structured_predictions_for_audio_pilot_candidate150.ipynb,software artefacts\notebook_pdfs\31_structured_predictions_for_audio_pilot_candidate150.pdf,software artefacts\notebook_html\31_structured_predictions_for_audio_pilot_candidate150.html,16,16,18
32_hybrid_multilabel_fusion_candidate150_pilot.ipynb,notebook\32_hybrid_multilabel_fusion_candidate150_pilot.ipynb,software artefacts\notebook_pdfs\32_hybrid_multilabel_fusion_candidate150_pilot.pdf,software artefacts\notebook_html\32_hybrid_multilabel_fusion_candidate150_pilot.html,14,14,17
33_hybrid_multilabel_per_label_thresholds_candidate150_pilot.ipynb,notebook\33_hybrid_multilabel_per_label_thresholds_candidate150_pilot.ipynb,software artefacts\notebook_pdfs\33_hybrid_multilabel_per_label_thresholds_candidate150_pilot.pdf,software artefacts\notebook_html\33_hybrid_multilabel_per_label_thresholds_candidate150_pilot.html,16,16,17
34_audio_multilabel_candidate150_expanded_pilot.ipynb,notebook\34_audio_multilabel_candidate150_expanded_pilot.ipynb,software artefacts\notebook_pdfs\34_audio_multilabel_candidate150_expanded_pilot.pdf,software artefacts\notebook_html\34_audio_multilabel_candidate150_expanded_pilot.html,25,25,32
35_structured_predictions_for_expanded_audio_candidate150.ipynb,notebook\35_structured_predictions_for_expanded_audio_candidate150.ipynb,software artefacts\notebook_pdfs\35_structured_predictions_for_expanded_audio_candidate150.pdf,software artefacts\notebook_html\35_structured_predictions_for_expanded_audio_candidate150.html,16,16,17
36_hybrid_multilabel_fusion_candidate150_expanded.ipynb,notebook\36_hybrid_multilabel_fusion_candidate150_expanded.ipynb,software artefacts\notebook_pdfs\36_hybrid_multilabel_fusion_candidate150_expanded.pdf,software artefacts\notebook_html\36_hybrid_multilabel_fusion_candidate150_expanded.html,15,15,18
37_expanded_hybrid_multilabel_per_label_thresholds_and_cap.ipynb,notebook\37_expanded_hybrid_multilabel_per_label_thresholds_and_cap.ipynb,software artefacts\notebook_pdfs\37_expanded_hybrid_multilabel_per_label_thresholds_and_cap.pdf,software artefacts\notebook_html\37_expanded_hybrid_multilabel_per_label_thresholds_and_cap.html,16,16,17
38_final_candidate150_consolidation_and_report_tables.ipynb,notebook\38_final_candidate150_consolidation_and_report_tables.ipynb,software artefacts\notebook_pdfs\38_final_candidate150_consolidation_and_report_tables.pdf,software artefacts\notebook_html\38_final_candidate150_consolidation_and_report_tables.html,16,16,33
39_full161_rare_tail_preparation_and_all_genre_strategy.ipynb,notebook\39_full161_rare_tail_preparation_and_all_genre_strategy.ipynb,software artefacts\notebook_pdfs\39_full161_rare_tail_preparation_and_all_genre_strategy.pdf,software artefacts\notebook_html\39_full161_rare_tail_preparation_and_all_genre_strategy.html,14,14,25
40_full161_rare_tail_fallback_router.ipynb,notebook\40_full161_rare_tail_fallback_router.ipynb,software artefacts\notebook_pdfs\40_full161_rare_tail_fallback_router.pdf,software artefacts\notebook_html\40_full161_rare_tail_fallback_router.html,14,14,25
41_full161_end_to_end_inference_pipeline.ipynb,notebook\41_full161_end_to_end_inference_pipeline.ipynb,software artefacts\notebook_pdfs\41_full161_end_to_end_inference_pipeline.pdf,software artefacts\notebook_html\41_full161_end_to_end_inference_pipeline.html,18,18,24
42_full161_single_file_inference_demo.ipynb,notebook\42_full161_single_file_inference_demo.ipynb,software artefacts\notebook_pdfs\42_full161_single_file_inference_demo.pdf,software artefacts\notebook_html\42_full161_single_file_inference_demo.html,17,17,26
43_full161_batch_inference_demo.ipynb,notebook\43_full161_batch_inference_demo.ipynb,software artefacts\notebook_pdfs\43_full161_batch_inference_demo.pdf,software artefacts\notebook_html\43_full161_batch_inference_demo.html,10,10,13
44_full161_targeted_rare_tail_batch_demo.ipynb,notebook\44_full161_targeted_rare_tail_batch_demo.ipynb,software artefacts\notebook_pdfs\44_full161_targeted_rare_tail_batch_demo.pdf,software artefacts\notebook_html\44_full161_targeted_rare_tail_batch_demo.html,12,12,19
45_full161_rare_tail_prototype_reranker.ipynb,notebook\45_full161_rare_tail_prototype_reranker.ipynb,software artefacts\notebook_pdfs\45_full161_rare_tail_prototype_reranker.pdf,software artefacts\notebook_html\45_full161_rare_tail_prototype_reranker.html,18,18,26
46_final_full_project_consolidation.ipynb,notebook\46_final_full_project_consolidation.ipynb,software artefacts\notebook_pdfs\46_final_full_project_consolidation.pdf,software artefacts\notebook_html\46_final_full_project_consolidation.html,14,14,22
47_final_audio_inference_pipeline.ipynb,notebook\47_final_audio_inference_pipeline.ipynb,software artefacts\notebook_pdfs\47_final_audio_inference_pipeline.pdf,software artefacts\notebook_html\47_final_audio_inference_pipeline.html,16,16,23
47_final_audio_inference_pipeline_patched_multwindow_safe_stage2.ipynb,notebook\47_final_audio_inference_pipeline_patched_multwindow_safe_stage2.ipynb,software artefacts\notebook_pdfs\47_final_audio_inference_pipeline_patched_multwindow_safe_stage2.pdf,software artefacts\notebook_html\47_final_audio_inference_pipeline_patched_multwindow_safe_stage2.html,16,15,28
48_looped_audio_genre_prediction_with_confidence.ipynb,notebook\48_looped_audio_genre_prediction_with_confidence.ipynb,software artefacts\notebook_pdfs\48_looped_audio_genre_prediction_with_confidence.pdf,software artefacts\notebook_html\48_looped_audio_genre_prediction_with_confidence.html,19,18,30
49_final_fma_test_split_batch_evaluation.ipynb,software artefacts\executed_notebooks\49_final_fma_test_split_batch_evaluation.ipynb,software artefacts\notebook_pdfs\49_final_fma_test_split_batch_evaluation.pdf,software artefacts\notebook_html\49_final_fma_test_split_batch_evaluation.html,13,13,28
50_external_song_batch_windowed_inference.ipynb,software artefacts\executed_notebooks\50_external_song_batch_windowed_inference.ipynb,software artefacts\notebook_pdfs\50_external_song_batch_windowed_inference.pdf,software artefacts\notebook_html\50_external_song_batch_windowed_inference.html,10,10,85
